DISTRICT NAME,TOTAL NUMBER OF TALUKS,TOTAL NUMBER OF FPS,TOTAL NUMBER OF CARDS,TOTAL NUMBER OF BENEFICIARIES,TOTAL NUMBER OF AADHAAR REGD.,TOTAL NUMBER OF MOBILE REGD.
Thiruvallur,9,1108,629289,1915530,1837887,629143
North Chennai,10,888,1073270,3569316,3538404,1071463
South Chennai,9,897,1158400,3815470,3768869,1158393
Kanchipuram,5,640,402457,1264632,1247462,402425
Vellore,6,699,451890,1475777,1460754,451884
Thiruvannamalai,12,1627,786134,2414592,2413689,786092
Viluppuram,9,1254,617505,1951675,1937918,617457
Salem,14,1540,1099243,3386495,3369137,1099191
Namakkal,8,915,552158,1594788,1588746,551879
Erode,10,1137,764731,2079927,2073338,764236
Nilgiris,6,399,219386,646161,644846,219178
Dindigul,10,1035,686054,2054848,2054421,686053
Karur,7,583,337759,1020756,1016354,337759
Thiruchirapalli,11,1216,850583,2654887,2652847,850583
Perambalur,4,282,190549,580991,580331,190548
Ariyalur,4,442,247892,774411,768909,247862
Cuddalore,10,1416,779979,2505463,2503449,779974
Nagapattinam,4,355,217304,668736,666940,217294
Thiruvarur,9,714,390526,1217796,1209412,390525
Thanjavur,9,1183,709555,2335432,2329812,709413
Pudukkottai,12,1002,490694,1647804,1646312,490694
Sivagangai,9,829,419106,1343406,1340194,419089
Madurai,11,1389,965936,2969135,2958367,965875
Theni,5,517,430842,1236510,1223041,430830
Virudhunagar,10,961,611855,1853785,1853450,611849
Ramanathapuram,9,775,402216,1324281,1311136,402216
Tuticorin,10,962,535295,1710834,1697396,535266
Tirunelveli,8,796,500664,1611370,1602283,500614
Kanyakumari,6,765,576619,1934131,1930423,576617
Dharmapuri,7,1048,468152,1530655,1529553,468141
Krishnagiri,8,1099,563713,1888994,1880713,563568
Coimbatore,12,1408,1143786,3398755,3382194,1143783
Tiruppur,9,1136,816422,2306215,2285611,816286
Tenkasi,8,658,473408,1456665,1452807,473306
Kallakurichi,7,766,434206,1422283,1416459,434181
Ranipet,6,614,347223,1114785,1110210,347214
Tirupathur,4,509,329978,1144607,1140000,329970
Chengalpet,6,841,439123,1341988,1324598,438454
Mayiladuthurai,4,414,283108,892309,888680,283104
,,,,,,
,,,,,,
DISTRICTS,TALUKS,FAIR PRICE SHOPS,FAMILY CARDS,BENEFICIARIES,AADHAAR # REGD.,MOBILE # REGD.
39,317,34793,22392538,70042922,69636952,22387936
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
